[27.232421875],[23.08203125],[30.068359375]
[27.228515625],[22.9814453125],[29.474609375]
[27.0810546875],[22.9931640625],[29.486328125]
[27.130859375],[23.0400390625],[29.533203125]
[27.0380859375],[23.0419921875],[29.2099609375]
[27.2353515625],[23.2314453125],[30.099609375]
[27.009765625],[22.9931640625],[29.486328125]
[27.0361328125],[23.0087890625],[29.501953125]
[27.1171875],[23.10546875],[29.5986328125]
[27.48046875],[23.482421875],[30.220703125]
[27.4892578125],[23.4931640625],[30.478515625]
[27.0048828125],[22.9775390625],[29.345703125]
[27.076171875],[23.0419921875],[29.22265625]
[27.3916015625],[23.2294921875],[29.72265625]
[27.5283203125],[23.4853515625],[30.470703125]
[27.005859375],[23.0087890625],[29.501953125]
[27.384765625],[22.955078125],[29.94140625]
[27.1005859375],[23.1044921875],[29.59765625]
[28.0283203125],[23.9775390625],[30.470703125]
[26.9892578125],[22.9775390625],[29.220703125]
[27.0986328125],[23.0400390625],[29.533203125]
[27.2275390625],[23.2314453125],[29.59765625]
[27.486328125],[23.2275390625],[29.720703125]
[27.0048828125],[22.9931640625],[29.486328125]
[27.1005859375],[23.1025390625],[29.595703125]
[27.0380859375],[22.9794921875],[29.4716796875]
[27.2294921875],[22.9814453125],[29.474609375]
[27.0517578125],[22.9931640625],[29.486328125]
[27.0986328125],[23.0400390625],[29.533203125]
[27.0693359375],[23.0107421875],[29.21875]
[27.2392578125],[23.2353515625],[29.474609375]
[26.9892578125],[22.9931640625],[29.486328125]
[27.0673828125],[22.9775390625],[29.220703125]
[27.2255859375],[23.1044921875],[29.59765625]
[27.2314453125],[22.9853515625],[29.474609375]
[27.162109375],[23.009765625],[29.486328125]
[27.0048828125],[23.0087890625],[29.501953125]
[27.1005859375],[23.1044921875],[29.595703125]
[27.1015625],[22.9794921875],[29.22265625]
[27.482421875],[23.4853515625],[30.478515625]
[27.162109375],[23.009765625],[29.501953125]
[27.037109375],[23.041015625],[29.283203125]
[27.509765625],[23.1064453125],[29.599609375]
[26.9892578125],[22.9931640625],[29.978515625]
[27.1455078125],[22.9931640625],[29.236328125]
[27.099609375],[23.041015625],[29.533203125]
[27.5751953125],[23.5439453125],[29.724609375]
[27.4970703125],[23.4853515625],[30.470703125]
[26.9892578125],[22.9775390625],[29.220703125]
[27.0361328125],[22.9775390625],[29.470703125]
[27.4775390625],[23.4814453125],[29.716796875]
[27.603515625],[22.962890625],[29.94921875]
[26.9892578125],[22.9931640625],[29.173828125]
[27.0703125],[22.9775390625],[29.470703125]
[27.478515625],[23.482421875],[29.974609375]
[27.228515625],[23.2314453125],[29.658203125]
[27.15625],[22.9775390625],[29.970703125]
[27.072265625],[23.017578125],[29.50390625]
[27.2412109375],[23.2294921875],[30.220703125]
[27.4775390625],[23.4814453125],[29.720703125]
[27.013671875],[22.9931640625],[29.486328125]
[27.072265625],[23.017578125],[29.25390625]
[27.3193359375],[23.1025390625],[30.095703125]
[27.4853515625],[23.4853515625],[29.720703125]
[26.990234375],[22.994140625],[29.470703125]
[27.037109375],[23.0087890625],[29.501953125]
[27.2421875],[23.10546875],[29.595703125]
[27.482421875],[23.4853515625],[30.478515625]
[26.982421875],[22.9853515625],[29.978515625]
[27.005859375],[23.0087890625],[29.126953125]
[27.2802734375],[23.1044921875],[29.59765625]
[27.2314453125],[22.9853515625],[29.287109375]
[27.4970703125],[22.9931640625],[29.736328125]
[27.005859375],[23.0087890625],[29.501953125]
[27.228515625],[23.10546875],[29.59765625]
[24.2265625],[25.724609375],[28.22265625]
[23.9921875],[25.990234375],[27.98828125]
[24.0078125],[25.505859375],[28.00390625]
[24.0400390625],[25.5380859375],[28.0361328125]
[24.23046875],[25.728515625],[28.2265625]
[23.9765625],[25.474609375],[27.97265625]
[24.0078125],[25.505859375],[28.00390625]
[23.955078125],[25.451171875],[27.947265625]
[24.23046875],[25.728515625],[28.2265625]
[23.9765625],[25.474609375],[27.97265625]
[23.984375],[25.98046875],[27.9765625]
[24.041015625],[25.2890625],[28.037109375]
[24.2265625],[25.724609375],[28.22265625]
[23.9765625],[25.4755859375],[27.97265625]
[23.9765625],[25.474609375],[27.97265625]
[24.041015625],[25.5390625],[28.037109375]
[24.23046875],[25.728515625],[28.2265625]
[23.984375],[25.982421875],[27.98046875]
[24.0078125],[25.505859375],[28.00390625]
[24.0400390625],[25.5380859375],[28.0361328125]
[24.1015625],[25.599609375],[28.09765625]
[23.9921875],[25.615234375],[27.98828125]
[24.0390625],[25.537109375],[28.03515625]
[23.5078125],[25.255859375],[28.00390625]
[23.98046875],[25.478515625],[27.9765625]
[24.484375],[26.482421875],[28.48046875]
[23.9921875],[25.490234375],[27.98828125]
