[70.3589],[1964.9167],[982.4669]
[70.4004],[1966.0805],[983.0422]
[70.3957],[1965.9562],[982.9799]
[70.3959],[1965.9704],[982.9804]
[70.3872],[1965.7322],[982.8728]
[70.399],[1966.0488],[983.0257]
[70.3964],[1965.994],[982.9965]
[70.3875],[1965.7255],[982.8533]
[70.3866],[1965.7261],[982.8552]
[70.3982],[1966.0108],[983.0135]
[70.3977],[1966.0061],[983.0072]
[66.0548],[1838.9156],[917.6123]
[65.6839],[1830.0808],[913.1558]
[66.4695],[1851.9872],[924.2546]
[66.7783],[1860.5229],[928.8321]
[66.6201],[1856.5502],[926.8669]
[70.3124],[1963.5891],[981.7662]
[70.3548],[1964.8207],[982.4079]
[70.3976],[1966.0154],[983.0076]
[70.3952],[1965.9676],[982.9728]
[70.379],[1965.4831],[982.7396]
[70.3562],[1964.8455],[982.429]
[70.3987],[1966.0627],[983.0223]
[70.3898],[1965.7934],[982.8982]
[70.3924],[1965.8725],[982.9335]
[70.3572],[1964.889],[982.4444]
[70.3976],[1966.0073],[983.0061]
[70.3952],[1965.9374],[982.9709]
[70.3943],[1965.8916],[982.9419]
[70.3582],[1964.9304],[982.4689]
[70.3986],[1966.0404],[983.0205]
[70.3934],[1965.8793],[982.9475]
[70.3741],[1965.3563],[982.6784]
[70.4004],[1966.0807],[983.0498]
[70.4004],[1966.0746],[983.0474]
[70.395],[1965.9394],[982.9724]
[70.3946],[1965.9361],[982.9588]
[70.3874],[1965.71],[982.8778]
[70.398],[1966.0404],[983.0265]
[70.394],[1965.9207],[982.9612]
[70.3903],[1965.803],[982.9037]
[70.3554],[1964.8233],[982.4048]
[70.3992],[1966.0711],[983.0288]
[70.3953],[1965.9507],[982.9734]
[70.3946],[1965.9321],[982.9652]
[70.385],[1965.6773],[982.8434]
[70.3993],[1966.0577],[983.0303]
[70.3973],[1966.0111],[983.0008]
[70.3884],[1965.7418],[982.8774]
[70.3607],[1964.9772],[982.4893]
[70.3466],[1964.5768],[982.2955]
[70.399],[1966.0736],[983.0383]
[70.3959],[1965.9619],[982.9806]
[70.3835],[1965.6326],[982.8063]
[70.3988],[1966.0352],[983.024]
[70.3978],[1966.0092],[983.0095]
[70.3864],[1965.6984],[982.8499]
[70.3657],[1965.1065],[982.5506]
[70.3986],[1966.055],[983.0202]
[70.3992],[1966.0404],[983.0287]
[70.3939],[1965.9169],[982.9682]
[70.3795],[1965.5022],[982.7548]
[70.398],[1966.04],[983.0147]
[70.4],[1966.069],[983.0405]
[70.3982],[1966.0146],[983.0157]
[70.377],[1965.442],[982.7205]
[70.3986],[1966.0459],[983.0262]
[70.3967],[1966.0027],[982.9953]
[70.3949],[1965.9353],[982.9681]
[70.3905],[1965.8254],[982.9024]
[70.398],[1966.0349],[983.0137]
[70.3947],[1965.9332],[982.9677]
[70.3982],[1966.0554],[983.0163]
[70.3764],[1965.3962],[982.6921]
[70.3986],[1966.0457],[983.0202]
[70.3975],[1966.0074],[983.0056]
[70.3939],[1965.9049],[982.9579]
[70.3751],[1965.3835],[982.6806]
[70.3582],[1964.9221],[982.4706]
[70.3974],[1966.0172],[983.0077]
[70.3987],[1966.0394],[983.0237]
[70.386],[1965.6817],[982.8468]
[70.3897],[1965.7833],[982.8803]
[70.3967],[1965.9937],[982.9927]
[70.3875],[1965.7147],[982.8538]
[70.388],[1965.738],[982.8789]
[70.3512],[1964.7127],[982.3731]
[70.4],[1966.0663],[983.0367]
[70.395],[1965.9547],[982.9741]
[70.3893],[1965.801],[982.8914]
[70.3529],[1964.787],[982.3884]
[70.3984],[1966.0263],[983.0191]
[70.394],[1965.9017],[982.9461]
[70.3878],[1965.7341],[982.8702]
[70.3409],[1964.4142],[982.2157]
[70.3988],[1966.0475],[983.027]
[70.395],[1965.938],[982.9727]
[70.3873],[1965.7425],[982.8568]
[70.3798],[1965.5232],[982.753]
[70.3987],[1966.0462],[983.0212]
[70.3944],[1965.923],[982.9676]
[70.3947],[1965.9239],[982.9542]
